Cell1,Cell2,Exp1,Exp2,Rep1,Rep2,Isrep,Color,Rsq,Nmi
K562,IMR-90,7,6,0,0,0,k,0.3232796284445144,0.28827646962705905
K562,IMR-90,7,6,1,0,0,k,0.35344687882935827,0.3033973508551141
RWPE2,IMR-90,8,6,0,0,0,k,0.17739785834191668,0.1960746032118643
RWPE2,IMR-90,8,6,1,0,0,k,0.20987019505020835,0.22077957768066978
RWPE2,IMR-90,8,6,2,0,0,k,0.2340969917015993,0.23952699010810893
WTC11,IMR-90,9,6,0,0,0,k,0.2762601541245682,0.2756103412656054
WTC11,IMR-90,9,6,1,0,0,k,0.25703767613173845,0.2602430925505527
K562,IMR-90,7,6,0,1,0,k,0.34838861287109035,0.3017057531747884
K562,IMR-90,7,6,1,1,0,k,0.3823758696409959,0.3200518674083774
RWPE2,IMR-90,8,6,0,1,0,k,0.1934212381481844,0.1979650920263958
RWPE2,IMR-90,8,6,1,1,0,k,0.22835405095531144,0.222460442528798
RWPE2,IMR-90,8,6,2,1,0,k,0.251424009861489,0.24033797302226792
WTC11,IMR-90,9,6,0,1,0,k,0.30091479539474386,0.2793583519035724
WTC11,IMR-90,9,6,1,1,0,k,0.2778431183645366,0.26077039916824096
K562,K562,7,7,1,0,2,k,0.7725612072171718,0.6503940899134545
RWPE2,K562,8,7,0,0,0,k,0.12932709023342043,0.14220083708344777
RWPE2,K562,8,7,1,0,0,k,0.16032425898849845,0.16546338011001843
RWPE2,K562,8,7,2,0,0,k,0.17731151972915532,0.18024407883988747
WTC11,K562,9,7,0,0,0,k,0.27889414627610415,0.2533676808642349
WTC11,K562,9,7,1,0,0,k,0.2672835505154856,0.23985707434917158
RWPE2,K562,8,7,0,1,0,k,0.12756981507865697,0.14154636748254198
RWPE2,K562,8,7,1,1,0,k,0.16058760325187157,0.16507679680276716
RWPE2,K562,8,7,2,1,0,k,0.17628116832461962,0.17921850289703337
WTC11,K562,9,7,0,1,0,k,0.2861778557435519,0.2567628811477419
WTC11,K562,9,7,1,1,0,k,0.2683108975312564,0.24110756565179564
RWPE2,RWPE2,8,8,1,0,2,k,0.5698444077244996,0.5558669810273754
RWPE2,RWPE2,8,8,2,0,2,k,0.5868677075268779,0.5561043347585873
WTC11,RWPE2,9,8,0,0,0,k,0.13260357092793798,0.17503712168720495
WTC11,RWPE2,9,8,1,0,0,k,0.13159182685231416,0.17718139695095655
RWPE2,RWPE2,8,8,2,1,2,k,0.6571299357226804,0.6383753903820444
WTC11,RWPE2,9,8,0,1,0,k,0.1618919145524262,0.19931860984231348
WTC11,RWPE2,9,8,1,1,0,k,0.16210001722198558,0.2017559639604119
WTC11,RWPE2,9,8,0,2,0,k,0.17618724370828445,0.2115178324093513
WTC11,RWPE2,9,8,1,2,0,k,0.17346159465959216,0.21111015534558908
WTC11,WTC11,9,9,1,0,2,k,0.6183630856573806,0.6404754501518434
