Sample1,Sample2,Cozero,Isrep,PearsonR,Rsquared,NMI,Spearman
ENCLB324GIU,ENCLB404SKN,True,False,0.4896914290114078,0.23979769564723463,0.24105536924297985,0.4433995159485103
ENCLB324GIU,ENCLB404SKN,False,False,0.7102698077132894,0.5044831997490731,0.5479701305587118,0.7670559344084382
ENCLB584REF,ENCLB404SKN,True,False,0.5166027241459072,0.2668783745949723,0.19836563580988384,0.41305745631806945
ENCLB584REF,ENCLB404SKN,False,False,0.6633937827665828,0.440091311013356,0.4812825130380314,0.7170347564592879
ENCLB584REF,ENCLB324GIU,True,False,0.5761096055759368,0.3319022776368615,0.2363987473542564,0.455561588989098
ENCLB584REF,ENCLB324GIU,False,False,0.7183771880858576,0.5160657843621437,0.5413579284925795,0.7669057349406938
ENCLB758GEG,ENCLB404SKN,True,False,0.4852058479408164,0.23542471487596664,0.2269887596882802,0.42972836795346675
ENCLB758GEG,ENCLB404SKN,False,False,0.6812362808160126,0.4640828703000332,0.520245653825018,0.7483104991743402
ENCLB758GEG,ENCLB324GIU,True,False,0.5387967013596358,0.29030188539602453,0.2681156004416047,0.4798961181868745
ENCLB758GEG,ENCLB324GIU,False,False,0.7340731528205375,0.5388633936918843,0.5794764808117767,0.7986544508230224
ENCLB758GEG,ENCLB584REF,True,False,0.611012059934444,0.37333573738533254,0.27736328355380346,0.5007709310028775
ENCLB758GEG,ENCLB584REF,False,False,0.7391067203689122,0.5462787440944894,0.5522908718331491,0.7846881971057519
ENCLB605LCC,ENCLB404SKN,True,True,0.8815316961516578,0.7770981313200188,0.6926977665848806,0.8045730819632485
ENCLB605LCC,ENCLB404SKN,False,True,0.9320596843091306,0.8687352551144361,0.7989040845114779,0.9162043581232239
ENCLB605LCC,ENCLB324GIU,True,False,0.5033590972865425,0.25337038082112295,0.2516812894782405,0.45405165217282684
ENCLB605LCC,ENCLB324GIU,False,False,0.7128246434416284,0.5081189722976848,0.5456629417044075,0.7653673731655737
ENCLB605LCC,ENCLB584REF,True,False,0.5256977564702612,0.276358131157866,0.20425335410945022,0.41997421613552377
ENCLB605LCC,ENCLB584REF,False,False,0.666239707372995,0.443875347680454,0.47794248812440143,0.7144453333029416
ENCLB605LCC,ENCLB758GEG,True,False,0.4971542733698547,0.2471623715299082,0.23414693410261853,0.4372537624613649
ENCLB605LCC,ENCLB758GEG,False,False,0.6844827745678123,0.4685166686800505,0.5187840266017646,0.7463220513397247
