Cellline,Replicate1,Replicate2
HAP-1,ENCFF941CSK,ENCFF683RST
MG63,ENCFF778ZUK,ENCFF289JFI
RWPE2,ENCFF639EED,ENCFF696EBU
SJCRH30,ENCFF409CAG,ENCFF249YKT
SJSA1,ENCFF942YVE,ENCFF759EUU
