Sample1,Sample2,Cozero,Isrep,PearsonR,Rsquared,NMI,Spearman
ENCFF941CSK,ENCFF683RST,True,True,0.9283678415999019,0.8618668493168606,0.7167429562567807,0.8490014823702016
ENCFF941CSK,ENCFF683RST,False,True,0.957706525431123,0.9172017888533542,0.8524899798035322,0.9535996542108417
ENCFF289JFI,ENCFF683RST,True,False,0.6384847245323676,0.4076627434611733,0.3782058554213019,0.5911656966108708
ENCFF289JFI,ENCFF683RST,False,False,0.7716732302377352,0.5954795742655407,0.6458159587949698,0.8550364149463479
ENCFF289JFI,ENCFF941CSK,True,False,0.6256919305453518,0.3914903919495693,0.3797416391133213,0.5858800089841872
ENCFF289JFI,ENCFF941CSK,False,False,0.7720623904991559,0.5960803348232712,0.6500675968465308,0.856445472725696
ENCFF778ZUK,ENCFF683RST,True,False,0.6571241642972543,0.43181216730336486,0.4052972129512571,0.6205973995054473
ENCFF778ZUK,ENCFF683RST,False,False,0.7789727593979183,0.6067985598840071,0.6569043265359347,0.8631469896975296
ENCFF778ZUK,ENCFF941CSK,True,False,0.636955032906422,0.4057117139448211,0.3957414036222461,0.6047059304081503
ENCFF778ZUK,ENCFF941CSK,False,False,0.7728160003633798,0.5972445704176514,0.6546491964879979,0.8603683759352071
ENCFF778ZUK,ENCFF289JFI,True,True,0.9413992320593386,0.8862325141219125,0.7183742730711206,0.8280027099603277
ENCFF778ZUK,ENCFF289JFI,False,True,0.9627314870022243,0.926851916065514,0.8416691558635488,0.9438000527250247
ENCFF639EED,ENCFF683RST,True,False,0.7550738267667909,0.5701364838682458,0.46541027810474156,0.6820270107866928
ENCFF639EED,ENCFF683RST,False,False,0.8477116164358907,0.7186149846403506,0.6921315382942128,0.8848291548350479
ENCFF639EED,ENCFF941CSK,True,False,0.7236755539013373,0.5237063073144074,0.4368505765902558,0.6505164207835601
ENCFF639EED,ENCFF941CSK,False,False,0.8353485414184453,0.6978071856499239,0.6812240874349037,0.8768468670882331
ENCFF639EED,ENCFF289JFI,True,False,0.6211240041997735,0.3857950285931603,0.3922129873369104,0.6343008443102416
ENCFF639EED,ENCFF289JFI,False,False,0.766723851316188,0.587865464177128,0.6825346675827004,0.8791811257541113
ENCFF639EED,ENCFF778ZUK,True,False,0.6535295830579383,0.42710091593188265,0.42881891838476033,0.6715347251278884
ENCFF639EED,ENCFF778ZUK,False,False,0.7813314391499253,0.6104788178040934,0.6970135258643076,0.889310724332526
