Sample1,Sample2,Cozero,Isrep,PearsonR,Rsquared,NMI,Spearman
ENCFF434UTC,ENCFF296OMI,True,True,0.9180043396505102,0.8427319676171693,0.6089360449225468,0.7278633343128865
ENCFF434UTC,ENCFF296OMI,False,True,0.9424923938294579,0.8882919124263821,0.8207028656446896,0.9327813453234998
ENCFF474LGV,ENCFF296OMI,True,False,0.4439214837531147,0.19706628373756688,0.16529320255059632,0.3266660306610664
ENCFF474LGV,ENCFF296OMI,False,False,0.7289451328001816,0.5313610066330744,0.6031901797553464,0.8137003590071349
ENCFF474LGV,ENCFF434UTC,True,False,0.43843910648991646,0.1922288500996763,0.1651301407730784,0.33126558988022003
ENCFF474LGV,ENCFF434UTC,False,False,0.6818252528510396,0.46488567542538406,0.5936486929068039,0.812428554650086
ENCFF593VYY,ENCFF296OMI,True,False,0.4656367124132125,0.21681754794698474,0.13098584744126596,0.3010821306083661
ENCFF593VYY,ENCFF296OMI,False,False,0.630515659548259,0.39754999693557613,0.46586667571545837,0.7149325484119139
ENCFF593VYY,ENCFF434UTC,True,False,0.44883867258156607,0.20145615400478226,0.13791593938353333,0.3120063518121467
ENCFF593VYY,ENCFF434UTC,False,False,0.6126377319807743,0.37532499064654706,0.47134771208571646,0.7258737324927728
ENCFF593VYY,ENCFF474LGV,True,True,0.8179272294873519,0.6690049527368551,0.36881952079773606,0.5267939930449113
ENCFF593VYY,ENCFF474LGV,False,True,0.8407209843990262,0.7068117736088677,0.6302472969323692,0.8182265527748147
ENCFF363VMR,ENCFF296OMI,True,False,0.24079894350297096,0.057984131192147,0.09190134431480612,0.2174851373655815
ENCFF363VMR,ENCFF296OMI,False,False,0.6203219291760287,0.38479929581666994,0.5869366716456356,0.7994129767338172
ENCFF363VMR,ENCFF434UTC,True,False,0.220529459753446,0.04863324261914676,0.08578500967732516,0.21284021823964427
ENCFF363VMR,ENCFF434UTC,False,False,0.5496573570483297,0.30212321015735505,0.5596878280637588,0.7841119930445428
ENCFF363VMR,ENCFF474LGV,True,False,0.24220786549806192,0.058664650109127255,0.10083806001044324,0.24807745930398226
ENCFF363VMR,ENCFF474LGV,False,False,0.660139629583001,0.43578433054598176,0.612196985571239,0.8126210664271777
ENCFF363VMR,ENCFF593VYY,True,False,0.27234555969781565,0.07417210388711647,0.0884201754404296,0.24660881331377038
ENCFF363VMR,ENCFF593VYY,False,False,0.5290092723965113,0.2798508102814863,0.46160428444274637,0.7128573829091506
ENCFF896NMH,ENCFF296OMI,True,False,0.20715682643887556,0.042913950740226414,0.08138506283571047,0.20308892601920436
ENCFF896NMH,ENCFF296OMI,False,False,0.5860040986826716,0.3434008036728903,0.5757003344506689,0.7913289758752434
ENCFF896NMH,ENCFF434UTC,True,False,0.19123934154093994,0.03657248575301228,0.07662018610464431,0.19970677783986002
ENCFF896NMH,ENCFF434UTC,False,False,0.5191605960709565,0.2695277245127509,0.5493236942724744,0.7761985678212152
